p;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
n;x;;;;;;;;;;;;;;;;;;;;
1;1;39.86345818906144;49.50000000000005;53.593244658671374;55.83296112251304;57.240077132351466;58.2044164305559;58.90595324214129;59.43898056647725;59.857585145990534;60.19498034404625;60.47267638141713;60.70521187415789;60.90276378069788;61.07266752203242;61.22034325860999;61.349882252788966;61.464430370152186;61.566446091940875;61.65787844385903;61.74029240173841
;2;8.526315789473689;9.000000000000002;9.161790168179737;9.24341649025257;9.292626346321677;9.325530454639294;9.349081165549723;9.366770327370297;9.380544048326385;9.391572780149703;9.400602737700046;9.408132136525705;9.414506314864788;9.41997219347521;9.424711003502667;9.428858768804746;9.43251957439306;9.435774420819003;9.438687287677798;9.441309381297176
;3;5.538319456262241;5.46238325041917;5.3907732803297845;5.34264447848147;5.309157019496833;5.284731560080554;5.2661946397665105;5.251671081521463;5.239995861135731;5.230411270555229;5.222404757875621;5.215617828545013;5.209792495183341;5.204738501461784;5.20031253626089;5.196404635134388;5.192929037012155;5.189817885967552;5.187016798500907;5.184481683280213
;4;4.544770720371267;4.32455532033676;4.190860438872246;4.107249542250522;4.050579068987471;4.009749312673945;3.9789662437953788;3.9549399445423497;3.9356708150352513;3.9198756037312132;3.9066937421488572;3.8955268544858894;3.8859461031225413;3.8776361788941442;3.870360096149203;3.8639363119337307;3.858223417806072;3.8531096352815006;3.848505444781024;3.8443383097779282
;5;4.060419946872068;3.779716078773951;3.619477412539591;3.5201962455341254;3.4529822480379053;3.4045065849849685;3.367898748491108;3.339275711154337;3.3162808188555974;3.297401668029935;3.281623292596799;3.2682392147968975;3.2567425115476976;3.2467599902415025;3.2380108073558262;3.230279559057767;3.223398264396525;3.2172339914160695;3.2116801663361105;3.206650347114972
;6;3.7759496025835357;3.4633040700956514;3.2887615634582414;3.18076286505832;3.1075116666389313;3.0545506824589213;3.0144565047430874;2.983035614290499;2.9577407039669414;2.936934670848335;2.919517042502714;2.904720508833658;2.8919935646613797;2.8809295337722487;2.871221899897569;2.862635224183434;2.8549856487440652;2.848127489460246;2.8419438075097214;2.8363396461055164
;7;3.5894280908647977;3.2574420510913757;3.074071993909001;2.9605340887350957;2.8833444956782124;2.827392271031295;2.78493011750444;2.7515795773535867;2.724677721558275;2.702510481768047;2.6839237354388055;2.6681114238101404;2.6544932518028195;2.6426406497414017;2.6322301246397912;2.623012852575942;2.614794269158336;2.607420017413601;2.6007660540158897;2.594731544013291
;8;3.457918903885016;3.1131176401556915;2.9237962883137807;2.8064257061376416;2.7264469153905253;2.6683347236464505;2.624134873561194;2.589349055725637;2.561238209657016;2.5380367815503253;2.518554220730918;2.501957794072606;2.487647137507426;2.4751782447749724;2.464215528378265;2.4545005383925953;2.445830944346074;2.4380460487599924;2.431016576898638;2.424637336710528
;9;3.36030302387155;3.0064524174002636;2.8128629971823895;2.692680062502341;2.610612550029971;2.5508552486152887;2.5053132015549857;2.4694056526262185;2.4403404377094704;2.4163155830609;2.396114423121067;2.3788848644628517;2.364011811293647;2.3510398087878683;2.3396242151009106;2.3294993121983776;2.320456859968302;2.312331301562773;2.304989326561903;2.29832236139197
