p;;0.1;0.2;0.25;0.3;0.4;0.5;0.6;0.7;0.75;0.8;0.9
n;x;;;;;;;;;;;
;10;0.999999291;0.999436586;0.996057858;0.982855184;0.872478754;0.588098526;0.244662797;0.047961897;0.013864417;0.002594827;7.1509E-06
;11;0.999999942;0.999898271;0.999064608;0.994861838;0.943473633;0.748277664;0.404401275;0.113331463;0.040925168;0.009981786;5.98585E-05
;12;0.999999996;0.999984837;0.999816296;0.99872112;0.978971073;0.868412018;0.584107062;0.227728203;0.101811857;0.032142663;0.000415635
;13;1;0.999998155;0.999970488;0.999738953;0.993534125;0.942340851;0.749989328;0.391990188;0.214218052;0.086692514;0.002386089
;14;;0.99999982;0.999996187;0.99995706;0.998388475;0.979305267;0.874401027;0.583629171;0.382827346;0.195792215;0.011253134
;15;;0.999999986;0.999999613;0.99999445;0.999682969;0.994091034;0.949048047;0.762492221;0.585158497;0.370351736;0.043174495
;16;;0.999999999;0.99999997;0.999999457;0.999952655;0.998711586;0.984038837;0.892913195;0.774843952;0.588551138;0.132953323
;17;;1;0.999999998;0.999999962;0.999994959;0.999798775;0.996388528;0.964516868;0.908739568;0.793915281;0.323073195
;18;;;1;0.999999998;0.999999659;0.999979973;0.999475951;0.99236274;0.975687375;0.93082471;0.608253002
;19;;;;1;0.999999989;0.999999046;0.999963438;0.999202077;0.996828788;0.988470785;0.878423345
;20;;;;;1;1;1;1;1;1;1
25;0;0.071789799;0.003777893;0.000752543;0.000134107;;;;;;;
;1;0.271205906;0.027389726;0.007023739;0.001570966;5.02268E-05;;;;;;
;2;0.53709405;0.098225223;0.032108521;0.008960528;0.000429297;;;;;;
;3;0.763591358;0.233993259;0.096214075;0.033240517;0.002366769;7.82609E-05;;;;;
;4;0.902006379;0.420674309;0.213740923;0.090471919;0.009470831;0.00045526;8.16465E-06;;;;
;5;0.966600055;0.616689412;0.378278512;0.193488442;0.029362205;0.002038658;5.35897E-05;;;;
;6;0.990523639;0.780035331;0.561098054;0.340654904;0.073565258;0.007316649;0.000280715;;;;
;7;0.997738688;0.890877204;0.726506212;0.511848544;0.153551735;0.021642625;0.001205441;1.81045E-05;;;
;8;0.999542451;0.953225758;0.85056233;0.676928125;0.27353145;0.053876072;0.004326388;9.86242E-05;;;
;9;0.999921018;0.98266813;0.928671737;0.810563976;0.424617018;0.114761472;0.013169073;0.000453507;4.30789E-05;;
;10;0.999988319;0.99444508;0.970330088;0.902199989;0.585774956;0.212178111;0.034391518;0.001778405;0.000214512;;
;11;0.999998516;0.998459949;0.989265702;0.955753503;0.732282173;0.345018983;0.077801064;0.005993988;0.000915831;7.62972E-05;
;12;0.999999838;0.999630952;0.996629552;0.982530259;0.846232231;0.5;0.153767769;0.017469741;0.003370448;0.000369048;
;13;0.999999985;0.999923703;0.999084169;0.994006012;0.922198936;0.654981017;0.267717827;0.044246497;0.010734298;0.001540051;1.48393E-06
;14;0.999999999;0.999986435;0.999785488;0.998221595;0.965608482;0.787821889;0.414225044;0.097800011;0.029669912;0.00555492;1.1681E-05
;15;1;0.999997936;0.999956921;0.999546493;0.986830927;0.885238528;0.575382982;0.189436024;0.071328263;0.01733187;7.89819E-05
;16;;0.999999733;0.999992636;0.999901376;0.995673612;0.946123928;0.72646855;0.323071875;0.14943767;0.046774242;0.000457549
;17;;0.999999971;0.999998939;0.999981896;0.998794559;0.978357375;0.846448265;0.488151456;0.273493788;0.109122796;0.002261312
;18;;0.999999997;0.999999873;0.999997233;0.999719285;0.992683351;0.926434742;0.659345096;0.438901946;0.219964669;0.009476361
;19;;1;0.999999988;0.999999654;0.99994641;0.997961342;0.970637795;0.806511558;0.621721488;0.383310588;0.033399945
;20;;;0.999999999;0.999999966;0.999991835;0.99954474;0.990529169;0.909528081;0.786259077;0.579325691;0.097993621
;21;;;1;0.999999997;0.999999046;0.999921739;0.997633231;0.966759483;0.903785925;0.766006741;0.236408642
;22;;;;1;0.99999992;0.999990284;0.999570703;0.991039472;0.967891479;0.901774777;0.46290595
;23;;;;;0.999999996;0.999999225;0.999949773;0.998429034;0.992976261;0.972610274;0.728794094
;24;;;;;1;0.99999997;0.999997157;0.999865893;0.999247457;0.996222107;0.928210201
;25;;;;;1;1;1;1;1;1;1
